text,label,language
URGENT: Your UPI account will be BLOCKED! Update KYC immediately. Call 9876543210 now!,1,English
Your KYC is expired. Paytm account will be suspended in 2 hours. Call now to update KYC,1,English
Dear user your PhonePe KYC is incomplete. Account will be blocked. Update now at bit.ly/kyc,1,English
NPCI ALERT: Your UPI ID will be deactivated. Complete mandatory update within 24 hours now,1,English
FINAL WARNING: Failure to update KYC in 24 hours will result in permanent UPI account blocking,1,English
Your Gpay account balance will be forfeited if KYC is not updated by tomorrow. Act fast now,1,English
Dear customer your SBI account will be closed due to incomplete KYC. Share details to reactivate,1,English
URGENT NOTICE: Your UPI is blocked due to KYC mismatch. Call 9988001122 immediately to resolve,1,English
Your Aadhaar-linked UPI KYC has expired. Account will freeze tonight. Update PIN to continue,1,English
SBI: KYC verification pending. Account restricted. Visit bit.ly/sbi-kyc or call 8899001122,1,English
SBI ALERT: Account will be deactivated in 24 hours. Share your OTP with our agent to reactivate,1,English
FREE OFFER: Get Rs 2000 in your PhonePe wallet. Just share your UPI PIN to activate this offer,1,English
HDFC Bank: Suspicious activity on your account. Confirm your UPI PIN to secure your account now,1,English
BANK ALERT: New device login detected. Share OTP to confirm it was you or your account is blocked,1,English
JUSPAY: Unusual transaction detected on UPI. Reply with OTP to cancel the unauthorized payment,1,English
Bank security team: Suspicious UPI request detected. Share your 6-digit PIN to block it now,1,English
SBI customer your UPI is about to be disabled. Share PIN to continue using UPI services,1,English
Your account has been compromised. Call our helpline immediately and share OTP to secure funds,1,English
ICICI Bank: Fraud alert on your account. Verify identity by sharing your UPI PIN immediately,1,English
Customer your UPI is compromised. Freeze account now by calling 8800998877 and sharing PIN,1,English
UPI payment fraud detected from your account. Immediately share OTP to stop this transaction,1,English
Congratulations! You won Rs 50000 in PhonePe Lucky Draw. Send OTP 5534 to claim your prize now,1,English
Lottery Winner! Your number won Rs 25 lakhs. Pay processing fee of Rs 500 via UPI to claim now,1,English
Amazon UPI offer: You won voucher worth Rs 5000. Share bank OTP to credit amount to your account,1,English
WINNER: Monthly UPI cashback draw winner. Rs 50000 prize. OTP required to transfer the funds,1,English
You have won a lucky prize in UPI diwali offer. Share OTP 7652 to claim your Rs 5000 reward,1,English
You are selected as the winner of PhonePe anniversary lottery. Claim Rs 1 lakh now with OTP,1,English
Congratulations you have been selected for UPI rewards program. Confirm your PIN to enroll now,1,English
You won a reward on your recent UPI payment. Click the link to claim Rs 10000 cashback now,1,English
